num_demande;heure_depart;coord_origin_x coord_origin_y;coord_dest_x coord_dest_y
9530;07:01:18;838394.8643 6519750.834;838645.9528 6521048.512
9531;07:01:19;839629.152 6518831.448;842594.1717 6517605.016
9532;07:01:20;842366.1426 6519996.094;844271.8425 6514581.23
9533;07:01:20;848686.5822 6519991.76;845299.8945 6519477.036
9534;07:01:20;846428.4657 6517430.322;847874.9613 6516930.467
9535;07:01:20;848064.32 6516844.165;846049.1051 6520614.425
9536;07:01:20;845984.5825 6520525.61;848030.8359 6516071.329
9537;07:01:20;844787.2695 6520696.288;848030.8359 6516071.329
9538;07:01:21;844477.8172 6520327.368;844701.7644 6521604.716
9539;07:01:21;848064.32 6516844.165;844074.6923 6519364.867
9540;07:01:21;844288.9585 6514512.87;843401.0534 6516248.371
9541;07:01:21;842538.3832 6512317.894;843614.0549 6511823.084
9542;07:01:22;838942.1972 6516442.09;839873.8236 6519793.416
9543;07:01:22;844603.4319 6514802.183;843447.8062 6518667.84
9544;07:01:22;847739.0735 6516778.683;846310.1628 6516405.542
9545;07:01:22;848412.0348 6518596.906;847278.6512 6518001.415
9546;07:01:22;846943.5623 6521123.912;839741.2335 6521650.867
9547;07:01:22;840998.0427 6515933.561;842612.9521 6512391.827
9548;07:01:22;841600.0693 6514337.491;840757.0095 6514681.71
9549;07:01:23;847405.1424 6522371.882;841921.6254 6518724.081
9550;07:01:23;843044.0438 6518867.04;845472.9123 6519003.084
9551;07:01:23;842900.9644 6516538.517;843518.0367 6514113.928
9552;07:01:23;844637.0766 6515818.264;844000.7614 6516449.801
9553;07:01:23;842673.5307 6520577.891;843670.9361 6520609.058
9554;07:01:23;837520.5794 6518364.542;839343.273 6516234.607
9555;07:01:23;843231.2186 6523050.675;841891.6451 6521633.697
9556;07:01:23;845850.9129 6515483.739;848030.8359 6516071.329
9557;07:01:23;843259.9742 6522021.915;841746.0389 6516326.237
9558;07:01:24;841455.9692 6522797.752;842164.8865 6521514.502
9559;07:01:24;838494.7422 6521231.894;845068.7657 6516414.961
