ID;DEPARTURE;ORIGIN;DESTINATION
391;00:03:31;E_545413229_T_61615192_toRef;S_82607700
392;00:03:32;E_82607284;S_800028683_T_704007186_FRef
393;00:03:32;E_82607718;S_82611857_T_62946995_toRef
394;00:03:34;E_881234027;S_82607798
395;00:03:35;E_1073571631;S_82607798
396;00:03:35;E_545413229_T_61615192_toRef;S_82607707_T_58231974_toRef
397;00:03:36;E_82607707_T_58231974_FRef;S_1035659569
398;00:03:36;C_82611902;S_82607369_T_549690291_toRef
399;00:03:37;E_82607284;S_82611819
400;00:03:37;R_82612055;S_543466840_T_58307472_FRef
401;00:03:38;E_545413229_T_61615192_toRef;S_545413229_T_61615192_FRef
402;00:03:38;E_82607369_T_549690291_FRef;S_82611819
403;00:03:38;E_876550037;S_1070389113_T_1085062159_toRef
404;00:03:38;E_881234027;S_800028683_T_704007186_FRef
405;00:03:39;E_01;S_82611819
406;00:03:40;E_01;S_82612072
407;00:03:40;E_82607284;S_82607798
408;00:03:40;E_82607718;S_1073547799
409;00:03:41;E_1067024224;S_826832662
410;00:03:41;E_1073571631;S_82607369_T_549690291_toRef
411;00:03:41;E_545413229_T_61615192_toRef;S_82607720
412;00:03:41;E_876550037;S_82607700
413;00:03:42;E_01;S_82611865
414;00:03:42;E_82607718;S_82607369_T_549690291_toRef
415;00:03:43;E_82607284;S_800028683_T_704007186_FRef
416;00:03:43;E_82611957;S_762997770_T_549690255_FRef
417;00:03:43;E_876550037;S_82611857_T_62946995_toRef
418;00:03:44;E_01;S_545413229_T_61615192_FRef
419;00:03:45;E_545413229_T_61615192_toRef;S_762997770_T_549690255_FRef
420;00:03:45;E_876550037;S_543466840_T_58307472_FRef
421;00:03:46;E_82607284;S_82611865
422;00:03:46;E_82607718;S_826832662
423;00:03:47;E_01;S_82607700
424;00:03:47;E_545413229_T_61615192_toRef;S_82607700
425;00:03:48;E_762997770_T_549690255_toRef;S_1070389113_T_1085062159_toRef
426;00:03:48;E_881234027;S_82611857_T_62946995_toRef
427;00:03:48;R_82607751;S_82607798
428;00:03:49;E_1073571631;S_545413229_T_61615192_FRef
429;00:03:49;E_545413229_T_61615192_toRef;S_82607720
430;00:03:49;E_82607718;S_82607707_T_58231974_toRef
431;00:03:49;E_881234027;S_82611865
432;00:03:50;E_01;S_82607369_T_549690291_toRef
433;00:03:50;E_545413229_T_61615192_toRef;S_82611819
434;00:03:50;E_876550037;S_1035659569
435;00:03:50;R_82607741;S_01
436;00:03:51;E_82607284;S_82611865
437;00:03:52;E_1070389113_T_1085062159_FRef;S_82611857_T_62946995_toRef
438;00:03:52;E_545413229_T_61615192_toRef;S_762997770_T_549690255_FRef
439;00:03:52;E_82611835;S_01
440;00:03:53;E_01;S_82607707_T_58231974_toRef
441;00:03:54;E_82607284;S_800028683_T_704007186_FRef
442;00:03:55;E_762997770_T_549690255_toRef;S_82607700
443;00:03:56;E_01;S_800028683_T_704007186_FRef
444;00:03:56;E_1073571631;S_82607720
445;00:03:56;E_545413229_T_61615192_toRef;S_543466840_T_58307472_FRef
446;00:03:56;E_82607284;S_545413229_T_61615192_FRef
447;00:03:56;E_876550037;S_762997770_T_549690255_FRef
448;00:03:57;E_762997770_T_549690255_toRef;S_1035659569
449;00:03:57;E_881234027;S_82611865
450;00:03:58;E_01;S_1070389113_T_1085062159_toRef
451;00:03:58;E_545413229_T_61615192_toRef;S_82607369_T_549690291_toRef
452;00:03:58;E_82607284;S_82607707_T_58231974_toRef
453;00:03:58;E_82607369_T_549690291_FRef;S_82607700
454;00:03:59;E_01;S_82607720
455;00:03:59;E_82607718;S_1070389113_T_1085062159_toRef
456;00:03:59;E_82607727;S_82612072
457;00:03:59;E_82611857_T_62946995_FRef;S_826832662
458;00:03:59;E_876550037;S_01
459;00:04:00;E_545413229_T_61615192_toRef;S_82607369_T_549690291_toRef
460;00:04:01;E_01;S_545413229_T_61615192_FRef
461;00:04:04;E_762997770_T_549690255_toRef;S_1070389113_T_1085062159_toRef
462;00:04:05;E_01;S_01
463;00:04:05;E_545413229_T_61615192_toRef;S_82607798
464;00:04:05;E_82607284;S_82607798
465;00:04:05;E_881234027;S_82611857_T_62946995_toRef
466;00:04:05;R_82612082;S_82607720
467;00:04:06;E_1073571631;S_543466840_T_58307472_FRef
468;00:04:06;E_82607718;S_1070389113_T_1085062159_toRef
469;00:04:07;E_545413229_T_61615192_toRef;S_762997770_T_549690255_FRef
470;00:04:07;E_82607284;S_82611819
471;00:04:08;E_01;S_545413229_T_61615192_FRef
472;00:04:13;E_876550037;S_1073547799
473;00:04:14;E_545413229_T_61615192_toRef;S_82607720
474;00:04:14;E_881234027;S_762997770_T_549690255_FRef
475;00:04:15;E_01;S_01
476;00:04:15;E_82607718;S_82611865
477;00:04:15;E_881234027;S_82607798
478;00:04:16;E_82607707_T_58231974_FRef;S_82607700
479;00:04:17;E_01;S_545413229_T_61615192_FRef
480;00:04:17;E_82607284;S_545413229_T_61615192_FRef
481;00:04:17;E_82607718;S_01
482;00:04:18;E_1070389113_T_1085062159_FRef;S_543466840_T_58307472_FRef
483;00:04:18;E_876550037;S_1070389113_T_1085062159_toRef
484;00:04:18;E_881234027;S_762997770_T_549690255_FRef
485;00:04:19;E_1073571631;S_82607798
486;00:04:19;E_545413229_T_61615192_toRef;S_82607707_T_58231974_toRef
487;00:04:19;E_762997770_T_549690255_toRef;S_82611865
488;00:04:20;E_01;S_82612072
489;00:04:20;E_82607284;S_762997770_T_549690255_FRef
490;00:04:20;C_82607785;S_762997770_T_549690255_FRef
491;00:04:21;E_01;S_82607720
492;00:04:21;E_545413229_T_61615192_toRef;S_82611819
493;00:04:21;E_82607718;S_545413229_T_61615192_FRef
494;00:04:21;E_82611957;S_82607700
495;00:04:22;E_82611957;S_82607700
496;00:04:22;E_881234027;S_82607707_T_58231974_toRef
497;00:04:23;E_545413229_T_61615192_toRef;S_82607369_T_549690291_toRef
498;00:04:23;E_881234027;S_82607720
499;00:04:24;E_01;S_1073547799
500;00:04:25;E_01;S_82611865
501;00:04:25;E_1067024224;S_82611857_T_62946995_toRef
502;00:04:25;E_762997770_T_549690255_toRef;S_01
503;00:04:25;E_82607718;S_82607700
504;00:04:26;E_82607284;S_82611857_T_62946995_toRef
505;00:04:27;E_1070389113_T_1085062159_FRef;S_82607369_T_549690291_toRef
506;00:04:27;E_876550037;S_1070389113_T_1085062159_toRef
507;00:04:28;E_01;S_1073547799
508;00:04:28;E_82607284;S_82607700
509;00:04:28;E_82607718;S_762997770_T_549690255_FRef
510;00:04:30;E_1070389113_T_1085062159_FRef;S_82607707_T_58231974_toRef
511;00:04:30;E_82607284;S_01
512;00:04:32;E_01;S_82607798
513;00:04:32;E_82611835;S_762997770_T_549690255_FRef
514;00:04:32;E_876550037;S_82612072
515;00:04:33;E_545413229_T_61615192_toRef;S_82607369_T_549690291_toRef
516;00:04:34;E_01;S_82611819
517;00:04:34;E_800028683_T_704007186_toRef;S_82611857_T_62946995_toRef
