ID;DEPARTURE;ORIGIN;DESTINATION
2471;06:51:46;845391.9498 6520958.132;844440.0221 6520950.622
2472;06:51:46;845204.6187 6519685.917;846526.091 6522622.425
2478;06:51:49;846172.1813 6519503.676;845525.0205 6519495.758
2486;06:51:53;846836.7122 6522284.894;845919.3324 6519575.416
2490;06:51:54;846017.7319 6520308.678;844116.6734 6519312.124
2496;06:51:56;848284.327 6519397.285;846866.7963 6522349.536
2497;06:51:57;846319.5192 6520542.37;843410.1347 6519795.473
2509;06:52:05;845826.4022 6519434.094;848512.9394 6519842.035
2517;06:52:08;845743.5334 6521694.136;844408.2185 6519698.637
2529;06:52:15;845593.1205 6523213.043;844572.1593 6520521.186
2534;06:52:17;845153.8935 6519756.477;847137.2455 6521928.978
2540;06:52:19;843466.9239 6519682.242;844713.6122 6519561.255
2542;06:52:20;844767.0588 6520728.967;843818.8675 6520376.948
2549;06:52:22;847129.1698 6519964.214;843840.1098 6520241.464
2555;06:52:23;847828.1229 6519351.173;844103.7486 6519600.179
2557;06:52:23;845413.094 6523209.4;845352.8657 6521759.172
2562;06:52:24;847094.7145 6521481.131;844421.5832 6519381.606
2563;06:52:24;843646.3357 6520948.225;846680.594 6520970.99
2591;06:52:39;845639.0803 6519627.47;844703.3303 6522342.77
2592;06:52:40;844519.8322 6519503.379;843540.0549 6520588.353
2593;06:52:41;845726.7929 6520381.74;844224.2745 6519484.957
2596;06:52:42;844732.6378 6521666.429;845344.8547 6519505.129
2605;06:52:46;845270.4956 6522972.456;844010.222 6522657.229
2606;06:52:47;843926.0622 6520690.249;844292.3512 6519474.618
2615;06:52:50;848392.1649 6520045.728;843786.8445 6520593.676
2619;06:52:51;846313.4588 6521051.864;844719.709 6520639.595
2621;06:52:52;847836.1151 6520148.942;846585.7094 6520094.503
2626;06:52:57;844394.6765 6519802.208;843428.0686 6520145.397
2630;06:52:59;846518.0824 6520093.998;844643.5325 6519935.165
2633;06:53:01;846851.5729 6522092.569;845755.2921 6520098.378
